,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
0,645,636
1,615,662
2,665,650
3,653,686
4,625,697
5,626,663
6,653,620
7,670,661
8,639,683
9,635,847
10,685,863
11,654,857
12,629,818
13,612,825
14,665,728
15,642,684
16,631,643
17,631,679
18,655,762
19,713,932
20,675,1026
21,637,1090
22,648,1059
23,668,1094
24,694,985
25,625,845
26,665,778
27,631,698
28,603,636
29,640,686
30,621,881
31,615,963
32,673,1164
33,691,1365
34,706,1445
35,721,1477
36,702,1319
37,634,1262
38,644,1107
39,688,888
40,627,785
41,667,654
42,630,649
43,620,771
44,624,836
45,624,1135
46,652,1394
47,679,1459
48,738,1701
49,680,1606
50,682,1550
51,667,1507
52,649,1298
53,675,1154
54,590,903
55,683,750
56,624,633
57,591,689
58,675,807
59,645,1108
60,691,1413
61,692,1598
62,656,1674
63,660,1832
64,712,1884
65,691,1740
66,649,1594
67,690,1466
68,678,1181
69,664,974
70,609,783
71,602,627
72,628,633
73,597,728
74,639,973
75,661,1272
76,703,1360
77,687,1707
78,698,1919
79,674,1918
80,733,1953
81,678,1924
82,710,1836
83,670,1598
84,646,1317
85,672,1066
86,649,817
87,609,723
88,641,675
89,637,759
90,653,1022
91,633,1347
92,714,1592
93,677,1778
94,630,2007
95,644,2070
96,673,1989
97,646,1808
98,660,1873
99,689,1769
100,650,1476
101,661,1088
102,639,855
103,641,763
104,650,680
105,599,772
106,671,1031
107,634,1346
108,720,1668
109,652,1791
110,704,1893
111,693,2087
112,658,2093
113,712,2015
114,722,1987
115,692,1706
116,607,1487
117,639,1049
118,610,887
119,602,701
120,653,673
121,662,801
122,676,1086
123,591,1165
124,646,1557
125,710,1773
126,650,1844
127,658,1901
128,683,1917
129,686,1929
130,647,1896
131,667,1661
132,618,1404
133,606,1092
134,644,908
135,593,687
136,658,688
137,615,740
138,654,1004
139,665,1198
140,670,1454
141,580,1639
142,664,1799
143,660,1882
144,677,1969
145,662,1848
146,682,1650
147,634,1539
148,633,1308
149,605,972
150,651,792
151,611,670
152,620,772
153,639,824
154,617,1090
155,622,1344
156,675,1463
157,654,1646
158,633,1822
159,638,1667
160,650,1699
161,640,1668
162,608,1435
163,688,1163
164,658,886
165,684,736
166,630,734
167,584,831
168,619,891
169,628,1135
170,591,1254
171,648,1418
172,631,1491
173,653,1491
174,674,1481
175,643,1220
176,606,1093
177,609,952
178,592,802
179,624,704
180,652,719
181,614,860
182,665,911
183,668,1061
184,653,1185
185,656,1231
186,638,1265
187,631,1233
188,623,1038
189,599,885
190,679,839
191,608,719
192,594,751
193,630,830
194,639,880
195,628,1004
196,626,968
197,625,1022
198,576,939
199,664,898
200,624,789
201,612,711
202,632,751
203,616,782
204,621,856
205,662,803
206,682,802
207,598,806
208,581,749
209,646,716
210,640,668
211,605,710
212,616,740
213,616,656
214,644,805
215,642,883
216,599,876
217,617,862
218,622,907
219,663,925
220,676,1134
221,694,1211
222,727,1255
223,695,1293
224,629,1089
225,679,1108
226,643,949
227,662,853
228,643,813
229,696,963
230,679,1284
231,704,1492
232,721,1635
233,708,1807
234,755,1693
235,652,1821
236,650,1764
237,715,1632
238,671,1347
239,666,1166
240,679,936
241,659,875
242,705,860
243,711,1123
244,657,1358
245,693,1663
246,680,1840
247,710,1994
248,704,2173
249,693,2137
250,678,2159
251,766,2237
252,696,2043
253,690,1819
254,653,1666
255,694,1385
256,661,999
257,636,907
258,649,909
259,707,1165
260,657,1593
261,725,1818
262,682,2092
263,731,2261
264,798,2270
265,713,2449
266,746,2512
267,763,2535
268,698,2442
269,633,2497
270,717,2267
271,732,2017
272,665,1700
273,683,1409
274,688,960
275,671,805
276,646,1051
277,686,1515
278,687,1894
279,759,2164
280,704,2360
281,736,2541
282,746,2631
283,735,2717
284,759,2794
285,763,2868
286,753,2841
287,693,2682
288,758,2552
289,707,2272
290,652,2031
291,698,1736
292,651,1257
293,672,968
294,715,926
295,658,1343
296,702,1730
297,741,2046
298,758,2480
299,733,2644
300,689,2793
301,722,3008
302,776,3053
303,723,3176
304,733,3200
305,748,3076
306,737,2905
307,705,2748
308,770,2560
309,688,2369
310,700,2095
311,719,1520
312,626,1068
313,638,795
314,666,1079
315,683,1574
316,685,1977
317,761,2284
318,728,2623
319,694,2883
320,821,2973
321,743,3194
322,805,3271
323,738,3229
324,781,3287
325,791,3159
326,742,3012
327,715,2995
328,790,2949
329,721,2511
330,702,2333
331,647,1795
332,677,1320
333,694,924
334,673,907
335,707,1231
336,665,1724
337,722,2134
338,705,2528
339,698,2797
340,698,3002
341,765,3190
342,717,3269
343,806,3365
344,829,3373
345,791,3311
346,750,3215
347,723,3171
348,779,3088
349,776,2910
350,738,2629
351,728,2481
352,735,2122
353,691,1601
354,677,1005
355,685,912
356,667,1321
357,694,1861
358,718,2278
359,731,2522
360,772,2749
361,794,3039
362,751,3071
363,788,3363
364,799,3440
365,749,3252
366,819,3381
367,777,3383
368,761,3434
369,772,3155
370,733,3026
371,731,2740
372,762,2630
373,674,2233
374,657,1639
375,641,1027
376,676,934
377,619,1406
378,719,1822
379,656,2288
380,758,2657
381,747,2940
382,809,3048
383,776,3257
384,813,3277
385,811,3578
386,765,3575
387,726,3558
388,747,3448
389,748,3353
390,755,3291
391,764,3006
392,774,2786
393,726,2595
394,716,2166
395,662,1663
396,664,1053
397,677,1002
398,671,1403
399,681,1806
400,763,2191
401,736,2684
402,760,2989
403,759,3108
404,756,3219
405,752,3376
406,801,3406
407,848,3530
408,815,3472
409,821,3412
410,772,3311
411,749,3238
412,756,3075
413,729,2741
414,739,2443
415,699,2094
416,703,1734
417,668,1071
418,614,905
419,666,1386
420,678,1780
421,691,2142
422,773,2627
423,746,2859
424,801,3133
425,816,3282
426,815,3296
427,764,3325
428,776,3501
429,763,3419
430,719,3312
431,780,3222
432,729,3180
433,750,3068
434,697,2850
435,704,2524
436,688,2014
437,716,1567
438,634,1092
439,699,884
440,688,1152
441,681,1620
442,745,2133
443,684,2413
444,732,2691
445,698,2881
446,720,3151
447,731,3205
448,755,3323
449,733,3322
450,808,3265
451,736,3240
452,815,3162
453,726,3235
454,749,2924
455,780,2754
456,717,2491
457,765,2029
458,661,1479
459,657,985
460,649,829
461,704,1066
462,664,1653
463,669,1976
464,645,2351
465,788,2557
466,742,2754
467,732,2904
468,800,3029
469,715,3172
470,742,3299
471,803,3142
472,736,3080
473,752,3100
474,700,2921
475,748,2678
476,714,2615
477,705,2269
478,750,1824
479,640,1345
480,661,902
481,658,994
482,683,1364
483,708,1759
484,751,2151
485,740,2501
486,723,2732
487,746,2840
488,754,2933
489,805,2946
490,760,3139
491,736,3172
492,765,3114
493,725,2908
494,714,2753
495,766,2633
496,678,2289
497,690,2064
498,675,1617
499,660,1054
500,645,820
501,619,1055
502,701,1409
503,703,1909
504,683,2169
505,706,2344
506,703,2541
507,813,2734
508,774,2922
509,710,2735
510,735,2772
511,759,2851
512,714,2878
513,712,2605
514,686,2283
515,677,2115
516,725,1743
517,685,1248
518,662,898
519,643,912
520,651,1202
521,652,1470
522,755,1753
523,717,1893
524,730,2314
525,723,2400
526,737,2541
527,737,2572
528,711,2628
529,715,2403
530,744,2440
531,651,2288
532,753,2036
533,734,1762
534,687,1404
535,619,1021
536,689,918
537,671,1037
538,646,1447
539,714,1703
540,708,1868
541,692,2088
542,623,2227
543,698,2266
544,674,2264
545,677,2103
546,641,2100
547,696,1757
548,717,1563
549,690,1282
550,682,969
551,665,864
552,674,985
553,695,1162
554,684,1367
555,704,1637
556,735,1743
557,715,1732
558,681,1702
559,676,1635
560,706,1553
561,684,1267
562,680,1056
563,698,1008
564,691,898
565,651,1047
566,666,1158
567,675,1119
568,633,1165
569,691,1201
570,675,1108
571,725,1018
572,650,902
573,710,1637
574,713,1966
575,736,2041
576,772,2143
577,756,2236
578,750,2275
579,737,1986
580,814,1911
581,719,1837
582,779,2120
583,789,2634
584,821,2718
585,776,2792
586,802,2881
587,816,2922
588,836,2860
589,812,2760
590,785,2608
591,754,2409
592,730,2135
593,670,1523
594,736,2117
595,811,2462
596,767,2732
597,723,2991
