,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
0,776,595
1,790,669
2,720,632
3,788,649
4,720,632
5,754,592
6,718,626
7,727,652
8,721,623
9,675,668
10,720,634
11,796,626
12,710,698
13,766,663
14,733,661
15,788,647
16,799,656
17,740,606
18,771,648
19,737,621
20,702,677
21,667,618
22,729,634
23,734,645
24,773,665
25,750,649
26,730,635
27,786,640
28,747,622
29,736,706
30,770,664
31,755,622
32,760,626
33,755,672
34,802,687
35,784,724
36,826,670
37,800,722
38,818,717
39,868,737
40,805,733
41,792,694
42,825,666
43,745,649
44,814,664
45,753,622
46,706,568
47,684,642
48,690,667
49,716,614
50,679,632
51,714,612
52,716,619
53,776,629
54,794,655
55,807,708
56,801,679
57,827,613
58,776,711
59,773,632
60,753,710
61,761,640
62,787,608
63,848,677
64,824,699
65,806,677
66,829,674
67,837,742
68,789,771
69,928,722
70,827,776
71,819,739
72,880,755
73,776,669
74,801,743
75,823,693
76,838,677
77,721,681
78,758,644
79,750,607
80,718,592
81,748,614
82,646,617
83,696,638
84,734,661
85,668,606
86,703,598
87,705,645
88,733,623
89,771,642
90,747,628
91,807,702
92,787,681
93,776,721
94,767,719
95,883,703
96,822,688
97,801,698
98,762,752
99,780,630
100,753,652
101,727,611
102,747,638
103,767,618
104,808,694
105,858,676
106,813,724
107,846,802
108,917,862
109,958,825
110,881,789
111,921,797
112,902,809
113,895,773
114,844,767
115,844,765
116,844,736
117,798,733
118,768,652
119,781,641
120,672,633
121,734,597
122,786,651
123,750,609
124,714,593
125,743,661
126,719,643
127,769,620
128,761,643
129,719,624
130,696,685
131,744,646
132,718,639
133,769,642
134,754,680
135,817,685
136,790,714
137,792,774
138,854,699
139,844,726
140,911,710
141,845,751
142,821,765
143,752,696
144,796,684
145,752,720
146,717,642
147,787,609
148,730,640
149,848,665
150,764,745
151,894,772
152,848,822
153,913,827
154,918,789
155,924,795
156,899,797
157,953,838
158,923,830
159,974,803
160,909,832
161,868,773
162,857,807
163,790,761
164,796,679
165,749,652
166,692,629
167,701,622
168,710,619
169,735,627
170,760,647
171,730,635
172,727,670
173,709,676
174,735,635
175,728,650
176,740,675
177,765,682
178,693,597
179,693,679
180,796,619
181,707,615
182,784,650
183,782,692
184,849,742
185,856,728
186,832,821
187,828,754
188,815,764
189,784,770
190,819,714
191,797,744
192,827,697
193,800,694
194,734,621
195,720,629
196,771,672
197,823,694
198,781,684
199,807,743
200,924,795
201,932,801
202,979,792
203,940,841
204,949,811
205,1002,845
206,1001,852
207,883,893
208,961,830
209,954,796
210,959,812
211,842,790
212,876,792
213,780,702
214,737,665
215,781,594
216,665,599
217,727,642
218,707,628
219,684,631
220,755,600
221,769,711
222,807,648
223,777,695
224,737,691
225,798,722
226,776,672
227,743,670
228,779,632
229,707,614
230,678,611
231,712,605
232,714,668
233,723,648
234,808,637
235,787,762
236,774,730
237,852,747
238,918,740
239,924,800
240,892,831
241,879,800
242,797,782
243,774,693
244,780,692
245,825,685
246,853,656
247,771,608
248,753,656
249,730,656
250,795,693
251,824,774
252,856,726
253,917,755
254,917,859
255,1021,874
256,1013,821
257,1035,873
258,1006,807
259,1026,820
260,972,822
261,911,919
262,919,761
263,874,807
264,896,794
265,836,731
266,845,737
267,814,672
268,739,609
269,700,647
270,680,602
271,694,609
272,772,629
273,775,600
274,729,632
275,746,645
276,774,715
277,766,680
278,763,726
279,822,683
280,756,718
281,756,652
282,733,666
283,746,670
284,717,649
285,727,670
286,696,619
287,796,623
288,793,622
289,774,708
290,814,705
291,825,777
292,800,824
293,952,813
294,894,765
295,932,765
296,828,828
297,855,879
298,869,749
299,771,712
300,816,720
301,759,669
302,738,626
303,730,678
304,851,673
305,810,776
306,915,718
307,911,800
308,946,788
309,1049,904
310,1035,885
311,951,846
312,1100,866
313,1027,877
314,1004,853
315,1057,836
316,974,861
317,976,920
318,844,880
319,936,760
320,853,769
321,787,718
322,808,691
323,770,664
324,704,654
325,733,633
326,708,643
327,796,627
328,753,608
329,728,689
330,781,714
331,771,705
332,758,734
333,792,707
334,804,770
335,761,707
336,798,701
337,797,670
338,719,681
339,725,677
340,709,646
341,723,618
342,745,580
343,787,631
344,741,679
345,815,694
346,885,804
347,844,798
348,920,778
349,866,802
350,889,798
351,910,879
352,966,761
353,880,802
354,850,797
355,829,775
356,839,697
357,783,662
358,756,694
359,731,663
360,730,635
361,783,670
362,819,707
363,926,795
364,913,745
365,938,794
366,908,795
367,977,906
368,961,876
369,1089,865
370,1074,853
371,992,866
372,970,856
373,1014,876
374,983,891
375,936,829
376,872,797
377,891,798
378,845,708
379,858,650
380,732,695
381,682,612
382,776,647
383,753,662
384,726,637
385,745,653
386,804,614
387,791,699
388,760,726
389,814,710
390,804,668
391,809,682
392,781,740
393,732,723
394,777,687
395,738,672
396,761,654
397,712,627
398,750,649
399,696,620
400,745,599
401,788,609
402,758,742
403,805,711
404,842,699
405,835,801
406,882,754
407,941,835
408,845,836
409,846,806
410,880,793
411,832,778
412,891,772
413,807,704
414,831,765
415,761,636
416,794,610
417,720,631
418,743,644
419,788,640
420,837,662
421,869,809
422,973,788
423,986,838
424,977,833
425,968,798
426,1001,867
427,1002,896
428,1039,876
429,1033,902
430,1067,917
431,976,847
432,1040,829
433,1004,822
434,932,823
435,854,812
436,832,782
437,831,709
438,808,663
439,719,598
440,816,653
441,703,672
442,804,625
443,759,676
444,842,706
445,799,696
446,840,718
447,803,692
448,782,689
449,751,717
450,805,693
451,803,701
452,809,697
453,720,641
454,714,611
455,708,681
456,662,637
457,730,574
458,732,607
459,765,682
460,793,678
461,835,712
462,844,727
463,847,763
464,826,742
465,914,796
466,873,731
467,853,863
468,886,795
469,842,799
470,717,809
471,901,774
472,746,727
473,787,687
474,759,694
475,813,639
476,753,639
477,801,705
478,887,751
479,946,779
480,981,857
481,950,838
482,1032,830
483,993,828
484,1065,881
485,1056,849
486,1049,892
487,1096,851
488,984,850
489,1034,894
490,1058,881
491,955,820
492,871,818
493,940,859
494,904,767
495,774,753
496,853,662
497,681,595
498,684,625
499,757,671
500,727,715
501,772,661
502,835,671
503,798,736
504,835,705
505,788,699
506,847,669
507,822,740
508,764,685
509,801,730
510,739,675
511,717,735
512,729,691
513,729,617
514,732,632
515,713,636
516,829,646
517,754,644
518,804,638
519,817,696
520,800,730
521,898,727
522,920,761
523,853,817
524,844,754
525,877,805
526,870,812
527,846,786
528,841,783
529,780,789
530,816,687
531,700,626
532,751,652
533,735,624
534,842,719
535,791,747
536,901,747
537,951,811
538,1023,829
539,986,798
540,991,876
541,1070,835
542,962,870
543,1045,896
544,972,863
545,1037,838
546,998,947
547,1073,868
548,1011,893
549,904,800
550,918,773
551,834,775
552,790,753
553,750,680
554,694,604
555,695,646
556,744,615
557,747,671
558,815,693
559,820,740
560,819,733
561,797,733
562,838,663
563,815,727
564,879,691
565,755,659
566,775,697
567,772,632
568,781,676
569,689,681
570,766,661
571,677,613
572,696,617
573,716,597
574,794,708
575,753,688
576,828,691
577,787,737
578,806,765
579,859,738
580,877,824
581,805,832
582,861,763
583,833,763
584,841,711
585,801,729
586,773,655
587,753,662
588,739,640
589,729,634
590,796,598
591,797,656
592,883,721
593,898,735
594,927,769
595,921,763
596,924,861
597,1014,847
598,1036,843
599,1034,827
600,1005,898
601,1035,790
602,984,821
603,974,901
604,968,809
605,1002,812
606,864,769
607,930,821
608,789,685
609,802,720
610,773,623
611,708,587
612,739,602
613,760,651
614,767,673
615,753,682
616,790,674
617,820,742
618,775,771
619,767,708
620,838,690
621,830,736
622,734,690
623,778,636
624,741,630
625,726,656
626,801,635
627,725,646
628,690,639
629,750,643
630,753,627
631,802,634
632,817,710
633,809,726
634,777,693
635,850,713
636,828,786
637,823,757
638,793,723
639,784,675
640,791,750
641,795,691
642,795,678
643,782,672
644,800,660
645,841,663
646,873,759
647,906,732
648,880,823
649,1049,826
650,969,873
651,1067,864
652,1050,825
653,1002,812
654,1011,827
655,950,889
656,1001,824
657,1062,835
658,921,862
659,892,810
660,888,859
661,797,786
662,781,705
663,782,635
664,718,662
665,719,585
666,753,646
667,706,661
668,812,670
669,746,715
670,794,701
671,811,722
672,769,714
673,790,722
674,802,684
675,727,727
676,766,637
677,713,605
678,707,640
679,714,666
680,667,612
681,720,676
682,721,646
683,769,593
684,807,636
685,804,675
686,746,696
687,800,644
688,795,698
689,816,731
690,772,726
691,755,718
692,784,666
693,717,654
694,727,628
695,812,647
696,809,668
697,864,679
698,819,726
699,873,747
700,853,768
701,950,768
702,929,809
703,950,820
704,1006,900
705,934,877
706,986,953
707,1010,786
708,988,849
709,903,840
710,974,826
711,925,794
712,829,730
713,748,701
714,792,662
715,775,674
716,795,617
717,787,616
718,815,700
719,783,741
720,838,653
721,848,745
722,737,717
723,795,721
724,794,667
725,715,668
726,674,622
727,713,641
728,710,624
729,695,655
730,695,595
731,778,663
732,742,657
733,745,618
734,757,639
735,785,617
736,793,664
737,801,621
738,797,672
739,727,604
740,773,676
741,722,615
742,787,641
743,806,646
744,758,635
745,762,645
746,830,702
747,815,760
748,926,727
749,967,781
750,985,856
751,944,850
752,963,861
753,979,810
754,862,889
755,903,834
756,970,842
757,893,831
758,821,823
759,809,761
760,850,694
761,766,668
762,786,652
763,716,588
764,769,640
765,772,645
766,768,721
767,767,702
768,805,685
769,776,689
770,827,712
771,767,681
772,762,671
773,718,623
774,760,638
775,714,586
776,692,622
777,707,617
778,736,735
779,769,654
780,759,638
781,829,656
782,802,691
783,822,657
784,742,662
785,807,616
786,798,630
787,845,721
788,806,675
789,835,717
790,805,722
791,943,790
792,963,735
793,873,771
794,892,831
795,960,805
796,959,737
797,895,845
798,816,762
799,902,786
800,867,710
801,828,695
802,798,686
803,798,663
804,715,611
805,735,619
806,794,641
807,780,656
808,797,679
809,723,643
810,741,656
811,756,669
812,767,594
813,749,619
814,720,624
815,734,655
816,790,661
817,733,672
818,740,638
819,740,626
820,735,599
821,783,627
822,822,687
823,799,722
824,861,718
825,910,812
826,852,768
827,911,746
828,902,752
829,854,756
830,819,777
831,813,755
832,876,735
833,839,684
834,779,718
835,784,654
836,739,623
837,718,611
838,743,654
839,732,644
840,755,602
841,713,663
842,739,620
843,726,591
844,698,620
845,709,645
846,778,624
847,748,647
848,776,685
849,801,651
850,834,694
851,818,749
852,838,740
853,852,760
854,807,789
855,828,720
856,819,762
857,804,708
858,826,711
859,773,689
860,747,636
861,766,657
862,725,626
863,761,640
864,710,646
865,713,625
866,703,578
867,710,641
868,768,655
869,756,672
870,786,683
871,805,657
872,846,680
873,858,638
874,819,668
875,733,680
876,840,625
877,748,643
878,773,618
879,830,667
880,750,673
881,748,615
882,742,650
883,760,634
884,725,682
885,743,664
886,749,636
887,728,658
888,709,643
889,729,604
890,793,662
891,748,648
892,749,597
893,729,643
894,722,636
895,740,668
896,783,618
897,737,621
898,802,683
899,723,684
900,730,634
901,748,598
902,743,691
903,794,631
904,765,614
905,692,679
906,793,637
907,794,644
908,727,666
909,740,637
910,730,646
911,780,685
912,783,682
913,814,695
914,747,623
915,779,608
916,757,653
917,739,663
918,723,688
919,740,769
920,751,675
921,771,732
922,787,730
923,726,684
924,787,656
925,785,643
926,686,630
927,781,666
928,711,618
929,741,619
930,733,687
931,725,650
932,780,713
933,726,685
934,801,717
935,768,727
936,775,736
937,807,724
938,758,663
939,773,593
940,719,667
941,746,623
942,790,659
943,747,653
944,756,641
945,735,717
946,767,774
947,747,733
948,843,741
949,741,710
950,772,735
951,713,731
952,792,671
953,737,666
954,702,685
955,706,633
956,726,633
957,737,637
958,701,690
959,735,690
960,736,723
961,747,758
962,763,736
963,779,774
964,749,756
965,788,733
966,778,695
967,722,657
968,743,658
969,747,635
970,701,677
971,704,596
972,802,670
973,759,648
974,819,670
975,741,728
976,785,748
977,821,736
978,830,696
979,790,789
980,788,753
981,753,636
982,769,659
983,715,669
984,756,680
