,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
0,921,569
1,1004,611
2,967,623
3,1055,608
4,1086,611
5,1090,612
6,1061,645
7,944,567
8,960,567
9,927,558
10,1060,591
11,1087,592
12,1283,641
13,1326,635
14,1284,684
15,1277,655
16,1282,678
17,1154,635
18,1042,573
19,972,559
20,980,572
21,1100,573
22,1136,620
23,1330,683
24,1336,707
25,1433,685
26,1459,718
27,1447,716
28,1487,687
29,1285,665
30,1123,685
31,928,525
32,997,614
33,1013,615
34,1135,605
35,1281,612
36,1371,706
37,1373,661
38,1509,706
39,1604,716
40,1501,720
41,1457,786
42,1423,716
43,1335,756
44,1215,675
45,938,568
46,1028,574
47,1030,622
48,1207,646
49,1296,615
50,1406,703
51,1549,750
52,1605,690
53,1525,727
54,1526,745
55,1568,721
56,1598,698
57,1538,725
58,1464,735
59,1279,666
60,1076,663
61,990,596
62,1026,604
63,1198,608
64,1319,664
65,1401,680
66,1498,727
67,1625,695
68,1658,750
69,1686,767
70,1760,761
71,1650,749
72,1570,748
73,1576,773
74,1521,757
75,1329,675
76,1306,737
77,1174,670
78,866,570
79,1103,603
80,1076,642
81,1338,664
82,1459,712
83,1570,776
84,1575,723
85,1652,769
86,1683,839
87,1772,771
88,1761,808
89,1713,805
90,1634,762
91,1572,772
92,1594,745
93,1443,726
94,1298,748
95,1168,623
96,961,565
97,1212,639
98,1192,647
99,1462,613
100,1614,799
101,1633,772
102,1734,753
103,1782,786
104,1821,797
105,1799,764
106,1823,766
107,1829,846
108,1688,793
109,1538,778
110,1507,768
111,1363,668
112,1188,690
113,995,616
114,989,615
115,947,592
116,1020,598
117,1306,595
118,1445,698
119,1593,744
120,1696,776
121,1687,776
122,1821,749
123,1838,889
124,1770,832
125,1903,842
126,1835,841
127,1801,785
128,1699,737
129,1639,763
130,1443,725
131,1336,648
132,1100,646
133,1031,615
134,914,586
135,1042,593
136,1279,645
137,1457,714
138,1526,741
139,1549,765
140,1729,788
141,1993,790
142,1921,866
143,1854,806
144,1905,804
145,1761,858
146,1741,820
147,1690,780
148,1614,800
149,1462,714
150,1259,719
151,1079,691
152,1053,598
153,981,575
154,1063,570
155,1285,690
156,1511,702
157,1645,765
158,1728,749
159,1866,811
160,1905,869
161,1996,776
162,1966,830
163,1867,810
164,1804,857
165,1881,799
166,1750,816
167,1653,769
168,1527,734
169,1159,663
170,1062,625
171,1037,599
172,884,595
173,1067,581
174,1296,637
175,1417,685
176,1626,722
177,1679,815
178,1759,765
179,1873,841
180,1927,857
181,2024,827
182,1847,861
183,1869,811
184,1904,786
185,1682,772
186,1568,812
187,1305,703
188,1165,641
189,1033,601
190,1048,628
191,967,565
192,1044,609
193,1290,663
194,1444,682
195,1575,727
196,1645,761
197,1675,769
198,1919,819
199,1831,831
200,1887,875
201,1966,849
202,1920,831
203,1808,749
204,1658,708
205,1463,751
206,1216,649
207,1071,599
208,976,590
209,941,625
210,984,587
211,1181,579
212,1331,709
213,1466,729
214,1635,768
215,1762,765
216,1797,840
217,1793,852
218,1797,786
219,1805,810
220,1762,747
221,1603,805
222,1599,779
223,1446,702
224,1235,671
225,1065,618
226,1014,590
227,977,591
228,1137,572
229,1192,661
230,1404,650
231,1608,709
232,1737,761
233,1599,795
234,1775,761
235,1776,753
236,1750,863
237,1632,822
238,1626,763
239,1537,727
240,1228,718
241,1068,663
242,1062,606
243,974,591
244,1024,582
245,1110,635
246,1285,649
247,1424,689
248,1447,710
249,1613,772
250,1624,761
251,1702,773
252,1637,830
253,1460,742
254,1421,670
255,1292,662
256,1122,614
257,951,638
258,936,611
259,976,578
260,1055,561
261,1119,672
262,1262,630
263,1391,666
264,1409,743
265,1456,703
266,1481,759
267,1513,743
268,1337,721
269,1237,692
270,1101,669
271,1011,637
272,1058,608
273,994,591
274,944,599
275,1000,560
276,1071,619
277,1057,636
278,1159,695
279,1233,651
280,1213,698
281,1137,700
282,1180,658
283,1118,642
284,1008,618
285,1000,608
286,914,598
287,958,584
288,1030,579
289,997,592
290,1053,600
291,1038,618
292,1016,617
293,988,624
294,981,602
295,944,594
296,959,566
297,935,628
298,2479,986
299,2616,1007
300,2710,1015
301,2802,1126
302,2754,1036
303,2813,1091
304,2650,1123
305,2646,1034
306,2664,914
307,2791,984
308,2805,1110
309,2935,1045
