,CY3_Intensity,GFP_Intensity,Label
0,6263,15594,1
1,6263,15011,1
2,6667,15727,1
3,6698,16052,1
4,6590,16125,1
5,6698,15869,1
6,6590,16160,1
7,6735,15797,1
8,6699,15942,1
9,6593,16202,1
10,6843,16271,1
11,6953,16088,1
12,6991,16525,1
13,6625,16160,1
14,6699,16306,1
15,6771,16454,1
16,6735,15979,1
17,6407,15615,1
18,6662,15833,1
19,6383,15575,1
20,6382,15722,1
21,6564,15684,1
22,6633,15827,1
23,6742,15899,1
24,6815,16230,1
25,6889,16338,1
26,7033,16412,1
27,7003,17001,1
28,7070,16813,1
29,7143,17362,1
30,7258,16817,1
31,7545,17434,1
32,7148,17404,1
33,7475,17293,1
34,7253,17398,1
35,7476,17220,1
36,7622,17220,1
37,7436,17324,1
38,7403,17659,1
39,7143,17215,1
40,7074,16891,1
41,7221,16928,1
42,6962,16961,1
43,7033,16485,1
44,6924,16120,1
45,6925,16374,1
46,6709,16196,1
47,6335,15974,1
48,6589,15502,1
49,6806,15792,1
50,6770,16772,1
51,7064,16196,1
52,7173,16740,1
53,7354,16848,1
54,7566,17497,1
55,7531,17532,1
56,7603,17714,1
57,7825,17864,1
58,7795,18326,1
59,8074,18257,1
60,7789,18335,1
61,8042,18987,1
62,7965,18874,1
63,8006,18843,1
64,8182,19309,1
65,7857,18294,1
66,8219,19019,1
67,8111,18946,1
68,8006,18806,1
69,8038,19019,1
70,7929,18765,1
71,7712,18257,1
72,7821,18475,1
73,7716,18190,1
74,7712,17787,1
75,7200,17201,1
76,7096,17315,1
77,7168,16699,1
78,6991,16776,1
79,6360,15397,1
80,6505,15907,1
81,6796,16160,1
82,6655,16310,1
83,7125,16529,1
84,7158,17505,1
85,7448,17397,1
86,7556,17870,1
87,7779,17874,1
88,7811,18342,1
89,8173,18741,1
90,8064,18814,1
91,7956,19141,1
92,8282,19396,1
93,8391,20048,1
94,8572,19867,1
95,8604,19935,1
96,8646,20738,1
97,8523,20223,1
98,8572,20412,1
99,8423,20262,1
100,8899,20267,1
101,8681,20048,1
102,8538,20194,1
103,8572,20048,1
104,8391,20267,1
105,8282,20230,1
106,8314,20118,1
107,8428,19540,1
108,8210,19613,1
109,8205,19754,1
110,7924,19001,1
111,8178,19073,1
112,7706,18491,1
113,7448,18015,1
114,7193,17433,1
115,7158,17397,1
116,6759,16634,1
117,6230,15885,1
118,6704,15885,1
119,6741,16284,1
120,6959,16541,1
121,7292,17054,1
122,7183,17346,1
123,7655,18038,1
124,7647,17920,1
125,8015,18216,1
126,8038,18822,1
127,8202,18731,1
128,8415,19564,1
129,8525,19601,1
130,8635,20293,1
131,8744,20839,1
132,8889,20948,1
133,8812,20761,1
134,8962,20802,1
135,9186,21206,1
136,9104,21380,1
137,8889,21202,1
138,8962,21349,1
139,8998,21385,1
140,9071,21421,1
141,9218,21603,1
142,8999,21385,1
143,8889,21202,1
144,9181,21458,1
145,8816,21275,1
146,8853,21386,1
147,8780,21129,1
148,8566,21208,1
149,8780,20438,1
150,8202,20225,1
151,8306,20220,1
152,8165,19678,1
153,8165,19022,1
154,8233,19491,1
155,7871,18690,1
156,7724,18216,1
157,7179,17559,1
158,7147,17237,1
159,6523,16576,1
160,6390,15764,1
161,6682,15946,1
162,6937,16274,1
163,6864,16420,1
164,7047,17148,1
165,7375,17587,1
166,7667,17513,1
167,7631,18388,1
168,8145,18539,1
169,8105,19118,1
170,8578,20030,1
171,8469,19884,1
172,8838,20981,1
173,9093,20800,1
174,8874,20981,1
175,9276,21528,1
176,8911,21638,1
177,9088,21634,1
178,9348,22037,1
179,9457,22001,1
180,9312,22037,1
181,9637,22908,1
182,9566,22438,1
183,9380,22507,1
184,9790,22370,1
185,9453,22252,1
186,9636,22216,1
187,9490,22252,1
188,9307,22397,1
189,9161,21559,1
190,9312,21819,1
191,9312,21966,1
192,9161,22361,1
193,9093,22221,1
194,9124,21451,1
195,9052,21487,1
196,8947,21564,1
197,8510,21419,1
198,8614,20831,1
199,8290,20326,1
200,8069,19593,1
201,8032,19884,1
202,7672,19122,1
203,7631,19008,1
204,7339,18097,1
205,7051,17517,1
206,6755,16675,1
207,6351,15815,1
208,6351,15779,1
209,6529,16212,1
210,6897,16799,1
211,7224,16835,1
212,7370,17309,1
213,7734,17600,1
214,7989,18294,1
215,7953,18766,1
216,8203,19235,1
217,8753,19748,1
218,8466,20080,1
219,8866,20627,1
220,8935,21095,1
221,9044,21531,1
222,9480,21822,1
223,9335,21859,1
224,9298,22222,1
225,9548,22691,1
226,9553,22586,1
227,9807,22804,1
228,9735,23241,1
229,9807,23277,1
230,9995,23245,1
231,9666,23063,1
232,9880,23459,1
233,9876,23709,1
234,9735,23095,1
235,9771,23495,1
236,9918,23532,1
237,9767,23236,1
238,9803,23673,1
239,9844,22913,1
240,9662,22623,1
241,9626,23095,1
242,9662,22623,1
243,9371,22623,1
244,9407,22477,1
245,9226,22004,1
246,9080,22550,1
247,9007,21677,1
248,8753,21495,1
249,8607,21204,1
250,8494,20836,1
251,8244,20548,1
252,7880,19930,1
253,7807,19530,1
254,7439,18762,1
255,7115,17638,1
256,6965,16904,1
257,6570,16835,1
258,6347,15188,1
259,6534,15812,1
260,6571,15992,1
261,6825,16500,1
262,6783,16497,1
