,CY3_Intensity,GFP_Intensity,Label
0,17359,10192,1
1,17105,10082,1
2,17218,10014,1
3,17359,9937,1
4,16882,9896,1
5,17032,9937,1
6,17355,10151,1
7,17096,10037,1
8,16967,10132,1
9,17149,10387,1
10,17476,9914,1
11,17331,10023,1
12,17763,10164,1
13,18277,10205,1
14,18167,10314,1
15,18417,10237,1
16,18236,10237,1
17,18167,10060,1
18,17763,10419,1
19,17945,10128,1
20,17840,10314,1
21,17476,10351,1
22,17508,10019,1
23,17695,9987,1
24,16895,10023,1
25,17459,10064,1
26,17855,10169,1
27,17413,9982,1
28,18221,10205,1
29,18622,10204,1
30,18621,10422,1
31,18907,10309,1
32,18663,10647,1
33,19022,10751,1
34,18812,10431,1
35,18877,10643,1
36,18989,10427,1
37,19022,10606,1
38,18768,10534,1
39,18731,10205,1
40,18698,10246,1
41,18225,9882,1
42,18366,10131,1
43,17637,9987,1
44,17783,10169,1
45,17276,9809,1
46,17262,9942,1
47,17515,10157,1
48,18277,10159,1
49,18240,9942,1
50,19105,10480,1
51,19441,10307,1
52,19949,10415,1
53,20161,10520,1
54,19871,10664,1
55,19945,10521,1
56,20523,10411,1
57,20881,10515,1
58,20742,10665,1
59,21030,10737,1
60,20487,10738,1
61,20456,10453,1
62,19799,10593,1
63,19726,10339,1
64,19364,10558,1
65,19038,10447,1
66,18562,10227,1
67,18128,10154,1
68,17914,10085,1
69,17479,10338,1
70,16936,9904,1
71,17132,10330,1
72,17539,10298,1
73,17789,10294,1
74,18370,10365,1
75,18703,10153,1
76,19717,10439,1
77,20407,10694,1
78,20704,10662,1
79,20413,10625,1
80,21244,10511,1
81,21608,10438,1
82,21718,10585,1
83,22227,10547,1
84,21789,10802,1
85,22260,10653,1
86,22086,10770,1
87,22009,10585,1
88,21391,10621,1
89,21395,10771,1
90,21139,10808,1
91,20627,10330,1
92,20300,10547,1
93,19753,10294,1
94,18813,10407,1
95,18735,10074,1
96,18224,10184,1
97,17862,10002,1
98,17462,10184,1
99,16587,9965,1
100,16934,10214,1
101,17811,10074,1
102,18465,10147,1
103,18429,10038,1
104,19119,10437,1
105,20099,10546,1
106,20898,10546,1
107,21335,10764,1
108,21771,10728,1
109,22461,10328,1
110,22860,10945,1
111,22860,10909,1
112,22420,10651,1
113,23115,10909,1
114,23224,10945,1
115,23442,10728,1
116,23260,10945,1
117,23187,10692,1
118,22716,10837,1
119,22493,10723,1
120,22234,10755,1
121,21739,10769,1
122,21444,11054,1
123,20993,10682,1
124,20572,10655,1
125,20359,10405,1
126,19369,10251,1
127,18461,10396,1
128,18429,10255,1
129,17811,10364,1
130,16866,10255,1
131,17249,10131,1
132,17909,10245,1
133,18855,10277,1
134,18749,10318,1
135,20209,10428,1
136,20351,10388,1
137,21344,10835,1
138,21816,10938,1
139,22471,10867,1
140,22987,10870,1
141,23127,11158,1
142,23676,10865,1
143,23895,11048,1
144,23675,11047,1
145,24223,10758,1
146,24187,10865,1
147,24077,11012,1
148,24036,10934,1
149,24076,11230,1
150,23457,11011,1
151,23784,11086,1
152,23535,10797,1
153,23420,10794,1
154,22623,10871,1
155,22293,11054,1
156,22143,10573,1
157,21412,10646,1
158,20323,10434,1
159,19948,10753,1
160,19119,10323,1
161,18535,10286,1
162,17654,10428,1
163,17139,9877,1
164,17296,10095,1
165,17879,10348,1
166,18460,10312,1
167,19738,10171,1
168,20202,10671,1
169,21078,10421,1
170,21729,10527,1
171,22683,10681,1
172,22825,10676,1
173,23156,10900,1
174,23593,10862,1
175,24056,11253,1
176,24134,10858,1
177,24430,11154,1
178,25183,10889,1
179,24897,11222,1
180,24898,10894,1
181,25080,11150,1
182,25371,11076,1
183,24897,11185,1
184,24789,11003,1
185,24460,11004,1
186,24280,10894,1
187,24243,11004,1
188,23734,10931,1
189,23733,10895,1
190,23446,10680,1
191,22601,10962,1
192,21552,10677,1
193,21223,10350,1
194,19988,10604,1
195,19769,10494,1
196,18823,10312,1
197,17915,10022,1
198,17229,10209,1
199,17230,10142,1
200,18356,10105,1
201,18939,10431,1
202,20029,10286,1
203,20467,10721,1
204,21335,10717,1
205,22283,10648,1
206,22808,10708,1
207,23228,10868,1
208,23770,10862,1
209,24101,10941,1
210,24939,11267,1
211,25010,10794,1
212,25629,10721,1
213,25339,11013,1
214,25627,11012,1
215,25877,11263,1
216,25556,11048,1
217,26174,11559,1
218,25484,11012,1
219,24969,11080,1
220,25448,10903,1
221,25664,10941,1
222,25121,10867,1
223,24611,11013,1
224,24316,10863,1
225,24206,11009,1
226,23769,11008,1
227,23265,10976,1
228,22943,10981,1
229,22064,10831,1
230,21958,10759,1
231,20902,10612,1
232,20029,10431,1
233,18980,10110,1
234,18430,10105,1
235,17074,9877,1
236,17488,9981,1
237,18069,10163,1
238,18680,9942,1
239,20136,10453,1
240,20647,10638,1
241,21659,10634,1
242,22343,10665,1
243,23399,10779,1
244,23617,10815,1
245,24450,10925,1
246,24814,10996,1
247,24627,11173,1
248,25286,11139,1
249,25719,11359,1
250,25502,11069,1
251,26305,11146,1
252,26087,10784,1
253,26517,11142,1
254,26264,11395,1
255,26663,11178,1
256,26699,11395,1
257,26087,11327,1
258,25938,10996,1
259,26558,11146,1
260,25434,11073,1
261,25833,11183,1
262,25213,11142,1
263,24953,11210,1
264,24632,10743,1
265,24564,11001,1
266,23649,10811,1
267,23440,10856,1
268,22819,10815,1
269,21771,10457,1
270,20715,10779,1
271,19737,10562,1
272,18907,10240,1
273,17850,10054,1
274,16943,10054,1
275,17156,10213,1
276,17914,10099,1
277,19337,10357,1
278,20027,10502,1
279,20753,10359,1
280,22136,10721,1
281,22286,10835,1
282,23590,10684,1
283,24025,10938,1
284,24317,11229,1
285,24681,11375,1
286,25189,11048,1
287,25625,11047,1
288,26315,11302,1
289,25951,11230,1
290,26683,11489,1
291,26392,11306,1
292,27157,11306,1
293,26788,11193,1
294,26898,11375,1
295,27298,11520,1
296,26720,11308,1
297,26866,11197,1
298,26680,11120,1
299,26138,11452,1
300,25921,11017,1
301,26175,11306,1
302,25630,11379,1
303,25624,11303,1
304,25551,11194,1
305,24649,11053,1
306,24649,11235,1
