,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
0,611,605
1,621,609
2,598,598
3,599,662
4,639,624
5,622,686
6,603,740
7,607,771
8,628,780
9,639,797
10,606,811
11,582,813
12,586,741
13,603,644
14,621,698
15,673,760
16,629,896
17,639,1039
18,680,1131
19,629,1146
20,641,1040
21,596,1000
22,618,860
23,619,797
24,586,648
25,639,741
26,637,896
27,628,999
28,672,1177
29,616,1323
30,695,1443
31,663,1503
32,654,1458
33,625,1289
34,573,1153
35,617,997
36,590,836
37,587,647
38,659,656
39,636,831
40,671,1043
41,618,1378
42,659,1515
43,630,1649
44,668,1721
45,658,1834
46,692,1723
47,620,1476
48,567,1410
49,608,1144
50,590,977
51,609,735
52,599,824
53,598,1023
54,660,1314
55,650,1559
56,677,1765
57,673,1944
58,657,2165
59,659,2171
60,686,2000
61,614,1935
62,692,1777
63,605,1461
64,626,1081
65,611,839
66,615,712
67,589,768
68,655,882
69,618,1139
70,668,1525
71,683,1788
72,676,2120
73,643,2280
74,706,2408
75,686,2371
76,653,2327
77,633,2097
78,671,1846
79,599,1538
80,635,1296
81,691,978
82,597,765
83,632,745
84,654,944
85,618,1221
86,649,1650
87,658,1886
88,685,2217
89,702,2446
90,681,2503
91,640,2695
92,724,2539
93,670,2239
94,614,2130
95,633,1770
96,615,1317
97,629,1044
98,623,805
99,620,774
100,610,994
101,602,1351
102,672,1683
103,755,1979
104,665,2309
105,640,2460
106,703,2604
107,632,2636
108,709,2651
109,651,2432
110,658,2209
111,674,1939
112,619,1476
113,605,1038
114,648,820
115,566,643
116,649,759
117,626,1012
118,657,1303
119,679,1789
120,638,1971
121,714,2358
122,709,2511
123,695,2652
124,663,2720
125,712,2705
126,625,2382
127,639,2130
128,603,1846
129,597,1398
130,676,1009
131,625,851
132,608,651
133,620,790
134,663,937
135,659,1342
136,669,1594
137,690,2008
138,646,2276
139,635,2377
140,692,2574
141,661,2513
142,626,2407
143,671,2406
144,648,2150
145,679,1737
146,600,1283
147,610,1005
148,663,738
149,606,732
150,646,917
151,659,1202
152,688,1560
153,628,1836
154,661,2070
155,682,2332
156,670,2454
157,657,2394
158,665,2368
159,660,2219
160,652,1897
161,616,1610
162,667,1230
163,656,865
164,625,713
165,616,678
166,584,859
167,634,1081
168,672,1410
169,610,1627
170,629,1767
171,671,1964
172,636,2131
173,636,2073
174,686,2024
175,652,1799
176,610,1580
177,607,1331
178,590,958
179,543,807
180,629,811
181,615,992
182,631,1064
183,611,1220
184,657,1472
185,639,1729
186,603,1714
187,635,1771
188,640,1731
189,664,1540
190,601,1324
191,591,1061
192,620,855
193,613,685
194,597,659
195,640,761
196,620,934
197,576,1076
198,618,1258
199,637,1293
200,627,1382
201,617,1298
202,638,1306
203,643,1251
204,653,996
205,614,858
206,611,735
207,645,718
208,639,839
209,610,912
210,631,970
211,621,1122
212,620,1099
213,650,1021
214,638,989
215,601,864
216,648,812
217,580,750
218,611,733
219,602,810
220,663,844
221,621,858
222,592,828
223,616,833
224,613,733
225,623,721
226,603,764
227,624,573
228,638,621
229,623,628
230,667,637
231,640,608
232,654,658
233,618,724
234,643,754
235,670,717
236,623,736
237,625,719
238,629,662
239,610,596
240,673,725
241,642,782
242,719,803
243,710,978
244,657,1023
245,654,950
246,673,903
247,635,881
248,626,757
249,647,721
250,653,625
251,659,718
252,695,792
253,706,878
254,654,1158
255,688,1176
256,696,1325
257,689,1339
258,683,1329
259,663,1110
260,664,984
261,639,848
262,684,712
263,667,695
264,654,761
265,723,1004
266,713,1206
267,721,1399
268,690,1596
269,702,1683
270,701,1643
271,688,1620
272,680,1509
273,668,1228
274,673,879
275,697,820
276,622,630
277,655,659
278,624,744
279,686,911
280,639,1171
281,613,1548
282,701,1824
283,662,2059
284,697,1991
285,703,2124
286,641,1991
287,661,1764
288,703,1540
289,601,1168
290,655,986
291,644,720
292,646,642
293,674,775
294,658,1054
295,688,1412
296,698,1629
297,715,2005
298,780,2199
299,703,2274
300,676,2331
301,684,2302
302,657,2036
303,671,1758
304,707,1331
305,695,997
306,658,867
307,642,666
308,681,673
309,667,875
310,737,1162
311,683,1622
312,681,1897
313,742,2094
314,721,2316
315,707,2522
316,699,2363
317,680,2374
318,689,2211
319,690,1847
320,671,1593
321,621,958
322,658,849
323,647,718
324,632,579
325,669,714
326,701,898
327,664,1211
328,722,1645
329,678,1882
330,736,2171
331,737,2391
332,763,2352
333,721,2470
334,719,2439
335,678,2257
336,677,1961
337,649,1585
338,695,1093
339,659,813
340,686,710
341,644,731
342,696,879
343,689,1087
344,661,1470
345,672,1857
346,666,2121
347,650,2289
348,649,2552
349,711,2425
350,682,2356
351,658,2211
352,662,1839
353,672,1460
354,676,1044
355,619,834
356,661,658
357,641,678
358,654,787
359,672,1038
360,714,1451
361,667,1796
362,706,1915
363,755,2181
364,728,2218
365,693,2318
366,679,2245
367,678,2042
368,686,1696
369,666,1203
370,664,972
371,685,739
372,656,653
373,576,612
374,636,797
375,666,957
376,693,1287
377,645,1483
378,708,1672
379,679,1951
380,691,2061
381,680,2106
382,695,1948
383,655,1780
384,630,1550
385,704,1079
386,650,881
387,610,671
388,656,654
389,654,706
390,689,841
391,678,1029
392,674,1225
