,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
0,807,767
1,870,686
2,902,708
3,898,792
4,927,786
5,904,765
6,886,740
7,886,752
8,863,750
9,817,780
10,856,707
11,790,776
12,853,728
13,900,764
14,940,805
15,904,798
16,974,793
17,926,835
18,956,816
19,877,757
20,954,791
21,929,759
22,805,744
23,867,747
24,827,738
25,856,772
26,908,736
27,875,795
28,901,814
29,994,799
30,992,860
31,954,889
32,950,857
33,963,841
34,889,873
35,877,749
36,957,806
37,843,837
38,872,797
39,815,753
40,862,750
41,845,749
42,856,747
43,837,802
44,902,768
45,917,800
46,1008,838
47,1009,920
48,996,894
49,904,898
50,987,867
51,992,860
52,1021,837
53,927,830
54,994,808
55,913,791
56,925,818
57,907,777
58,884,757
59,828,750
60,937,764
61,898,744
62,871,800
63,969,813
64,982,780
65,1022,761
66,1026,882
67,1065,826
68,1038,823
69,1042,908
70,1032,926
71,1013,855
72,1058,961
73,1042,873
74,943,947
75,909,906
76,973,795
77,838,767
78,932,798
79,833,779
80,847,782
81,876,705
82,949,736
83,945,789
84,1002,861
85,1042,880
86,1094,856
87,1105,894
88,958,906
89,999,953
90,1104,959
91,1070,839
92,1128,872
93,1062,888
94,1008,910
95,960,901
96,967,813
97,922,852
98,908,793
99,935,802
100,908,826
101,842,774
102,869,784
103,839,752
104,905,774
105,983,848
106,963,920
107,1050,917
108,1217,914
109,1165,909
110,1079,939
111,1136,889
112,1108,941
113,1163,917
114,1164,962
115,1057,917
116,1107,878
117,997,872
118,984,844
119,978,810
120,907,867
121,876,816
122,876,753
123,852,730
124,894,768
125,938,764
126,944,818
127,988,875
128,1042,880
129,1109,906
130,1059,926
131,1140,935
132,1312,985
133,1165,928
134,1125,954
135,1076,995
136,1208,1004
137,1095,988
138,1166,921
139,1033,937
140,995,852
141,991,867
142,952,848
143,886,781
144,858,751
145,916,752
146,912,800
147,895,809
148,1032,881
149,1014,812
150,1115,891
151,1098,919
152,1192,999
153,1180,1007
154,1161,967
155,1100,929
156,1168,1053
157,1190,985
158,1216,1004
159,1045,975
160,1059,1002
161,1023,960
162,999,834
163,923,919
164,894,845
165,917,800
166,953,765
167,765,782
168,916,768
169,946,808
170,919,784
171,1009,805
172,978,949
173,1122,912
174,1169,981
175,1104,916
176,1117,1078
177,1191,1028
178,1124,981
179,1190,1096
180,1101,1100
181,1177,950
182,1105,973
183,1116,901
184,1116,940
185,1091,888
186,991,921
187,1020,846
188,963,828
189,880,801
190,876,685
191,895,691
192,938,790
193,905,807
194,910,840
195,1119,872
196,1045,871
197,1165,901
198,1186,998
199,1209,1060
200,1237,982
201,1162,1046
202,1179,1002
203,1238,1061
204,1227,977
205,1245,1003
206,1189,1020
207,1107,1032
208,1183,991
209,1041,1015
210,980,818
211,998,820
212,936,805
213,876,786
214,887,736
215,904,738
216,984,758
217,860,670
218,1022,821
219,1047,864
220,1005,856
221,1212,913
222,1138,979
223,1177,996
224,1126,1026
225,1295,1031
226,1168,985
227,1255,1095
228,1175,1029
229,1229,1096
230,1205,999
231,1190,1023
232,1110,970
233,1038,916
234,975,893
235,973,860
236,912,814
237,893,777
238,858,802
239,896,821
240,923,754
241,979,790
242,984,815
243,972,812
244,1064,924
245,1129,893
246,1134,941
247,1161,936
248,1218,1014
249,1198,998
250,1153,1018
251,1203,1014
252,1242,993
253,1113,966
254,1196,1033
255,1131,966
256,1095,974
257,1051,878
258,975,846
259,906,871
260,959,871
261,853,775
262,857,706
263,856,774
264,959,762
265,992,873
266,956,877
267,1052,933
268,1114,889
269,1052,929
270,1179,983
271,1174,911
272,1210,1024
273,1239,995
274,1212,1030
275,1146,1041
276,1263,1020
277,1182,1055
278,1248,968
279,1138,926
280,1153,890
281,1039,818
282,911,928
283,908,840
284,828,771
285,881,805
286,899,840
287,906,836
288,978,855
289,1120,831
290,1047,894
291,1177,905
292,1202,1056
293,1197,1002
