,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
0,2327,980
1,2532,1009
2,2444,950
3,2451,954
4,2343,989
5,2326,950
6,2249,925
7,2309,897
8,2544,1046
9,2615,1079
10,2616,1033
11,2632,1078
12,2916,1148
13,2925,1152
14,2737,977
15,2659,1027
16,2608,1059
17,2461,1009
18,2364,952
19,2185,953
20,2059,938
21,2366,995
22,2544,963
23,2642,1095
24,2778,1061
25,2812,1096
26,2881,1048
27,2971,1188
28,3106,1097
29,3020,1173
30,2992,1233
31,2997,1096
32,2992,1136
33,2860,1140
34,2763,1032
35,2747,1021
36,2560,1051
37,2409,1043
38,2180,983
39,1988,914
40,2223,871
41,2514,986
42,2697,1047
43,2727,1075
44,2860,1138
45,2860,1177
46,3169,1223
47,3267,1199
48,3195,1165
49,3172,1225
50,3138,1271
51,3328,1227
52,3123,1262
53,3194,1180
54,3186,1258
55,3169,1157
56,3007,1065
57,2771,1038
58,2659,1138
59,2433,1124
60,2305,965
61,1912,904
62,2143,902
63,2423,989
64,2691,1033
65,2910,1103
66,2925,1130
67,3028,1198
68,3236,1205
69,3218,1248
70,3330,1256
71,3425,1264
72,3351,1228
73,3440,1201
74,3258,1269
75,3410,1215
76,3502,1268
77,3300,1178
78,3195,1099
79,3045,1222
80,3020,1140
81,2980,1122
82,2780,995
83,2569,1104
84,2372,951
85,2132,965
86,2386,986
87,2703,1084
88,2873,1149
89,3096,1139
90,3207,1251
91,3352,1266
92,3426,1232
93,3390,1312
94,3574,1320
95,3677,1333
96,3765,1361
97,3568,1364
98,3604,1368
99,3680,1276
100,3484,1286
101,3324,1234
102,3409,1236
103,3411,1276
104,3357,1254
105,3115,1225
106,2925,1128
107,2813,1105
108,2656,1008
109,2411,1053
110,2033,935
111,2520,986
112,2621,1045
113,2944,1085
114,3047,1215
115,3168,1234
116,3291,1260
117,3443,1336
118,3476,1238
119,3604,1279
120,3772,1321
121,3774,1349
122,3729,1372
123,3838,1414
124,3698,1377
125,3723,1399
126,3672,1292
127,3633,1354
128,3518,1300
129,3510,1286
130,3364,1250
131,3326,1207
132,3134,1271
133,2993,1129
134,2751,1129
