,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
0,669,606
1,645,629
2,645,605
3,657,583
4,669,562
5,721,631
6,667,640
7,678,607
8,722,623
9,683,594
10,646,592
11,715,609
12,652,618
13,655,598
14,714,618
15,751,597
16,786,622
17,800,634
18,812,656
19,817,634
20,815,627
21,712,647
22,681,608
23,682,589
24,630,612
25,751,566
26,800,613
27,832,645
28,904,654
29,853,646
30,934,679
31,852,685
32,927,731
33,868,653
34,803,648
35,711,576
36,711,591
37,709,607
38,682,559
39,704,567
40,764,606
41,808,644
42,842,654
43,936,669
44,902,646
45,951,715
46,976,653
47,955,727
48,945,620
49,917,674
50,869,638
51,709,591
52,706,655
53,662,592
54,727,576
55,787,650
56,826,610
57,938,662
58,961,689
59,984,657
60,981,674
61,999,682
62,1069,678
63,1009,693
64,946,670
65,946,724
66,905,645
67,844,629
68,650,633
69,660,620
70,655,640
71,704,611
72,804,627
73,935,666
74,876,669
75,1009,722
76,1012,638
77,1060,728
78,1095,741
79,1071,692
80,1070,677
81,1039,695
82,973,657
83,967,637
84,858,632
85,782,622
86,649,591
87,630,615
88,701,615
89,709,656
90,765,653
91,978,667
92,987,627
93,1009,697
94,1095,688
95,1044,720
96,1026,678
97,1052,712
98,1105,751
99,975,681
100,1040,682
101,923,669
102,942,698
103,786,639
104,679,614
105,694,625
106,643,582
107,693,602
108,727,592
109,864,673
110,951,665
111,919,620
112,1036,747
113,1109,731
114,1114,783
115,1111,695
116,1183,682
117,1081,753
118,1041,727
119,1002,658
120,1020,637
121,911,676
122,779,609
123,712,593
124,652,612
125,724,611
126,756,589
127,823,660
128,880,654
129,937,648
130,1030,728
131,1042,751
132,1124,685
133,1154,733
134,1054,725
135,1070,759
136,1080,698
137,1092,662
138,948,672
139,914,675
140,827,612
141,691,665
142,653,631
143,698,626
144,731,600
145,824,650
146,873,663
147,956,688
148,1029,690
149,1091,718
150,1103,716
151,1038,791
152,1069,670
153,1114,686
154,1059,688
155,1031,707
156,963,633
157,880,646
158,806,605
159,729,555
160,665,601
161,655,560
162,655,611
163,799,629
164,907,655
165,948,609
166,951,713
167,1116,683
168,1032,654
169,1033,687
170,1083,683
171,1018,676
172,959,712
173,978,747
174,1015,669
