,CY3_Intensity,GFP_Intensity,Label
0,7118,20062,3
1,7260,19950,3
2,7193,20353,3
3,7118,19880,3
4,7046,20137,3
5,7301,20099,3
6,6942,19884,3
7,6973,20172,3
8,6938,19406,3
9,6863,19663,3
10,6828,19370,3
11,6455,19360,3
12,6599,19069,3
13,7301,20674,3
14,7555,20568,3
15,7629,20929,3
16,7846,21037,3
17,7814,21802,3
18,7882,21581,3
19,7882,22522,3
20,7766,21782,3
21,7629,21762,3
22,7523,22021,3
23,7809,21691,3
24,7918,21799,3
25,7769,21395,3
26,7555,21653,3
27,7701,21473,3
28,7446,21219,3
29,7665,21147,3
30,7229,20783,3
31,7264,20024,3
32,7161,19919,3
33,7119,19371,3
34,6795,19191,3
35,6648,19226,3
36,6544,18940,3
37,7001,19835,3
38,7367,20528,3
39,7367,20638,3
40,7767,21258,3
41,7622,21476,3
42,8059,22606,3
43,7840,21914,3
44,8132,22570,3
45,8132,22789,3
46,8095,22789,3
47,8350,23117,3
48,8273,23076,3
49,8350,23191,3
50,8424,23336,3
51,8386,23227,3
52,8386,23191,3
53,8386,23191,3
54,7918,23377,3
55,8350,23336,3
56,8169,23191,3
57,8095,22716,3
58,8132,22389,3
59,7913,22534,3
60,8095,22680,3
61,7758,21680,3
62,7548,21330,3
63,7330,21221,3
64,7257,20492,3
65,7188,20314,3
66,6710,19507,3
67,6678,19037,3
68,6273,18559,3
69,6131,18345,3
70,6830,18646,3
71,7048,19844,3
72,7446,20242,3
73,7622,20781,3
74,7844,21548,3
75,7850,22314,3
76,7991,22238,3
77,8389,23070,3
78,8393,23364,3
79,8384,23537,3
80,8383,23464,3
81,8529,23900,3
82,8610,24235,3
83,8605,24014,3
84,8605,24485,3
85,8533,24485,3
86,8932,24558,3
87,8859,24703,3
88,8859,24666,3
89,9078,24485,3
90,8787,24739,3
91,8968,24375,3
92,8787,24485,3
93,8569,23687,3
94,9005,24267,3
95,8937,23946,3
96,8461,23904,3
97,8502,23691,3
98,8240,23138,3
99,8136,23287,3
100,7809,22165,3
101,7768,22161,3
102,7808,21729,3
103,7436,21356,3
104,7225,20418,3
105,7080,20345,3
106,6938,19735,3
107,6431,18901,3
108,6467,18610,3
109,6073,17999,3
110,6848,19304,3
111,7102,19812,3
112,7539,20358,3
113,7625,21098,3
114,7794,21846,3
115,8002,22383,3
116,8265,23083,3
117,8520,23046,3
118,8484,23809,3
119,8629,23917,3
120,8743,24285,3
121,8992,24862,3
122,8870,24688,3
123,9101,25007,3
124,9027,25225,3
125,9027,25661,3
126,9354,25879,3
127,9499,25698,3
128,9286,25775,3
129,9136,25589,3
130,9322,25666,3
131,9323,25630,3
132,9105,25484,3
133,9068,25628,3
134,9027,25298,3
135,9100,25371,3
136,9141,25448,3
137,9136,25661,3
138,9029,24716,3
139,8920,25225,3
140,8811,24134,3
141,8561,24066,3
142,8811,24063,3
143,8411,23664,3
144,8338,22865,3
145,8011,22791,3
146,7939,22719,3
147,7761,21452,3
148,7574,20758,3
149,7143,20509,3
150,6884,19522,3
151,6450,18688,3
152,6268,18324,3
153,6018,17892,3
154,6873,18651,3
155,7352,19458,3
156,7242,20662,3
157,7711,21788,3
158,7894,21897,3
159,8081,22487,3
160,8368,23466,3
161,8518,23690,3
162,8805,24014,3
163,8947,24703,3
164,8911,24885,3
165,9179,25044,3
166,9029,25733,3
167,8983,24994,3
168,9314,25873,3
169,9275,25869,3
170,9388,26275,3
171,9897,26459,3
172,9497,26423,3
173,9461,26678,3
174,9461,26386,3
175,9533,26350,3
176,9820,26710,3
177,9649,26974,3
178,9570,26678,3
179,9565,26672,3
180,9574,25917,3
181,9643,26568,3
182,9461,26131,3
183,9429,25843,3
184,9320,25660,3
185,9134,25399,3
186,9211,26171,3
187,9029,25660,3
188,8802,24666,3
189,8806,24452,3
190,8299,24056,3
191,8805,24013,3
192,8081,23690,3
193,8296,22883,3
194,7820,22154,3
195,7748,21898,3
196,7424,20953,3
197,7129,20148,3
198,6651,19706,3
199,6545,19052,3
200,6372,18297,3
201,5858,17634,3
202,6687,19002,3
203,7378,19947,3
204,7236,20750,3
205,7446,21032,3
206,8104,22381,3
207,8027,22630,3
208,8391,22921,3
209,8686,23797,3
210,8577,24524,3
211,8831,24923,3
212,9081,25355,3
213,9413,25396,3
214,9517,25827,3
215,9486,26195,3
216,9340,26158,3
217,9590,26553,3
218,9989,26843,3
219,9740,26848,3
220,9849,26957,3
221,9776,27321,3
222,9849,27793,3
223,9953,27389,3
224,10098,27462,3
225,9953,27571,3
226,9880,27643,3
227,9699,27498,3
228,9989,27462,3
229,10066,28410,3
230,9880,27244,3
231,10212,27176,3
232,10057,27385,3
233,9921,27067,3
234,9667,26884,3
235,9595,26848,3
236,9667,26594,3
237,9409,26190,3
238,9558,25940,3
239,9304,25686,3
240,9153,25464,3
241,8863,25027,3
242,8754,24519,3
243,8572,24446,3
244,8136,23503,3
245,8136,23321,3
246,8068,22780,3
247,7519,21832,3
248,7410,21323,3
249,7082,20850,3
250,6760,19766,3
251,6469,18494,3
252,6033,17913,3
253,6064,17401,3
254,6811,18670,3
255,7205,19538,3
256,7456,20078,3
257,7679,20701,3
258,7899,22448,3
259,8188,22592,3
260,8479,23392,3
261,8621,23861,3
262,8558,24707,3
263,9170,24883,3
264,9080,25163,3
265,9207,25466,3
266,9612,26053,3
267,9276,26697,3
268,9681,26630,3
269,9827,26484,3
270,9794,27180,3
271,9717,27248,3
272,9972,27284,3
273,9972,28157,3
274,10009,28229,3
275,10080,27902,3
276,10336,28412,3
277,10263,27683,3
278,10191,28229,3
279,9935,28047,3
280,10336,28265,3
281,10228,28193,3
282,10335,28521,3
283,10274,28571,3
284,10154,28921,3
285,10409,28337,3
286,9977,28343,3
287,10445,28265,3
288,10231,27835,3
289,10231,28052,3
290,10012,27980,3
291,9821,27313,3
292,9868,27362,3
293,9681,26665,3
294,9354,26630,3
295,9135,25866,3
296,9129,26116,3
297,9280,25392,3
298,8770,25321,3
299,8734,24847,3
300,8629,23651,3
301,8008,23391,3
302,8194,22851,3
303,7756,21396,3
304,7387,20593,3
305,6883,20305,3
306,6664,18960,3
307,6516,18338,3
308,6043,17683,3
309,6917,18747,3
310,7387,19909,3
311,7531,21110,3
312,7713,21400,3
313,8226,22387,3
314,8447,22970,3
315,8586,23548,3
316,8550,24349,3
317,8951,24677,3
318,9243,25550,3
319,9278,25221,3
320,9316,26170,3
321,9573,26319,3
322,9860,26788,3
323,9792,26828,3
324,9897,27480,3
325,9970,27371,3
326,10333,27880,3
327,10188,28281,3
328,10121,28248,3
329,9897,28681,3
330,10225,28425,3
331,10478,29590,3
332,10262,28717,3
333,10770,29043,3
334,10484,28830,3
335,10297,28862,3
336,10407,29298,3
337,10262,28972,3
338,10665,29304,3
339,10734,29700,3
340,10371,29008,3
341,10407,28570,3
342,10407,28863,3
343,10407,29080,3
344,10483,28758,3
345,10661,28789,3
346,10078,28353,3
347,10111,28421,3
348,9861,27661,3
349,9970,27442,3
350,9574,27265,3
351,9461,26934,3
352,9573,26647,3
353,9464,26137,3
354,8987,26278,3
355,8950,25331,3
356,8841,24858,3
357,8628,24789,3
358,8365,23652,3
359,8113,23256,3
360,8149,22020,3
361,7605,21000,3
362,6990,19695,3
363,6804,19653,3
364,6258,18706,3
365,6113,17978,3
366,6923,18780,3
367,7246,20192,3
368,7579,21107,3
369,7905,21906,3
370,8046,22592,3
371,8447,23501,3
372,8665,23793,3
373,9029,24883,3
374,9029,24811,3
375,9430,25829,3
376,9216,26233,3
377,9797,26342,3
378,9939,27356,3
379,9975,27429,3
380,10256,27492,3
381,10047,27755,3
382,10594,28229,3
383,10266,28665,3
384,10374,28446,3
385,10229,28919,3
386,10812,29100,3
387,10594,29175,3
388,10521,29791,3
389,11030,29791,3
390,11103,29755,3
391,11034,29759,3
392,11031,30082,3
393,10629,30155,3
394,10667,30155,3
395,10998,30160,3
396,10811,29647,3
397,10743,30233,3
398,11031,29828,3
399,10921,29718,3
400,10812,30120,3
401,11035,29214,3
402,10447,29610,3
403,10378,29432,3
404,10338,29101,3
405,10447,28484,3
406,10271,28706,3
407,10271,27905,3
408,10125,27943,3
409,10162,28088,3
410,9828,27356,3
411,9538,27464,3
412,9647,27066,3
413,9174,26046,3
414,9361,25724,3
415,8962,25251,3
416,8780,24596,3
417,8447,24700,3
418,8342,23179,3
419,7866,22992,3
420,7614,21906,3
421,7288,21070,3
422,6992,19902,3
423,6706,19179,3
424,5978,18416,3
425,6996,19419,3
426,7538,20252,3
427,7907,21277,3
428,8089,22043,3
429,8234,23062,3
