,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
0,738,624
1,712,628
2,713,639
3,759,660
4,790,608
5,726,608
6,654,619
7,691,650
8,677,624
9,723,636
10,727,617
11,668,619
12,719,641
13,682,639
14,726,643
15,741,685
16,800,680
17,764,742
18,765,708
19,750,652
20,684,664
21,786,623
22,729,639
23,650,594
24,685,594
25,704,609
26,723,595
27,678,608
28,694,626
29,749,625
30,750,642
31,676,624
32,718,637
33,712,649
34,738,616
35,714,585
36,660,618
37,729,593
38,747,617
39,799,662
40,772,719
41,804,666
42,895,719
43,919,726
44,804,760
45,830,725
46,829,702
47,863,691
48,785,695
49,739,646
50,710,655
51,679,592
52,685,598
53,670,600
54,717,591
55,653,610
56,679,612
57,667,578
58,675,584
59,616,607
60,751,636
61,752,658
62,726,723
63,781,671
64,743,669
65,753,684
66,772,665
67,768,617
68,682,628
69,683,619
70,771,585
71,718,635
72,744,621
73,808,706
74,890,777
75,845,746
76,866,747
77,979,791
78,929,845
79,916,818
80,969,709
81,854,772
82,834,747
83,846,690
84,776,671
85,800,683
86,750,615
87,697,595
88,652,583
89,688,601
90,738,596
91,678,590
92,752,655
93,699,621
94,633,621
95,717,588
96,653,610
97,677,576
98,716,619
99,754,622
100,760,641
101,839,694
102,752,697
103,812,696
104,798,716
105,785,669
106,733,672
107,796,685
108,758,650
109,754,624
110,766,643
111,671,612
112,776,665
113,733,686
114,845,729
115,842,745
116,954,764
117,944,802
118,864,832
119,912,808
120,924,808
121,889,814
122,922,777
123,872,703
124,869,752
125,822,741
126,800,674
127,737,643
128,673,638
129,669,610
130,641,653
131,768,607
132,637,628
133,684,623
134,751,591
135,716,609
136,743,631
137,718,675
138,731,614
139,743,671
140,687,586
141,730,611
142,662,601
143,711,666
144,812,705
145,845,672
146,775,669
147,847,735
148,885,703
149,821,741
150,833,736
151,799,715
152,772,680
153,800,729
154,769,645
155,704,637
156,725,665
157,781,638
158,706,649
159,818,710
160,893,752
161,915,758
162,886,815
163,949,775
164,1013,835
165,991,832
166,984,860
167,1049,859
168,1009,863
169,901,780
170,945,785
171,885,744
172,846,757
173,794,704
174,778,648
175,668,587
176,641,609
177,717,589
178,690,643
179,746,602
180,672,604
181,791,700
182,764,649
183,789,672
184,767,662
185,777,686
186,722,649
187,706,630
188,732,670
189,679,647
190,698,650
191,687,625
192,737,665
193,814,666
194,836,655
195,877,683
196,839,746
197,836,733
198,899,783
199,924,742
200,872,741
201,834,736
202,787,749
203,744,678
204,761,676
205,712,625
206,752,640
207,794,642
208,842,707
209,860,815
210,892,742
211,945,773
212,1066,831
213,975,836
214,963,807
215,967,827
216,1015,896
217,1025,819
218,1013,900
219,938,821
220,1001,833
221,919,845
222,883,784
223,861,706
224,730,702
225,714,635
226,663,605
227,673,648
228,675,596
229,719,609
230,702,626
231,697,707
232,758,630
233,764,663
234,793,670
235,838,734
236,788,724
237,884,681
238,768,606
239,681,661
240,738,627
241,725,618
242,726,599
243,723,636
244,766,674
245,791,735
246,918,693
247,863,717
248,871,749
249,891,766
250,818,709
251,907,739
252,866,729
253,847,710
254,833,689
255,831,664
256,711,656
257,703,617
258,705,634
259,723,646
260,776,716
261,895,725
262,936,714
263,930,771
264,994,835
265,960,830
266,921,869
267,1004,879
268,1008,859
269,1021,858
270,1017,852
271,1061,892
272,984,881
273,1007,815
274,894,797
275,938,795
276,872,790
277,790,693
278,772,630
279,709,607
280,700,626
281,718,625
282,718,609
283,696,581
284,774,647
285,705,667
286,726,621
287,854,679
288,840,724
289,795,724
290,847,749
291,823,769
292,769,711
293,804,654
294,690,627
295,713,615
296,728,585
297,732,622
298,773,622
299,834,674
300,821,672
301,860,665
302,951,771
303,846,769
304,868,725
305,863,768
306,895,782
307,910,773
308,928,754
309,850,722
310,819,727
311,714,680
312,729,629
313,712,612
314,747,697
315,813,691
316,876,730
317,956,812
318,974,802
319,994,845
320,1032,817
321,1005,865
322,999,810
323,1018,820
324,1017,914
325,899,835
326,1027,852
327,1029,837
328,951,871
329,957,824
330,944,792
331,851,781
332,783,748
333,754,671
334,679,627
335,722,624
336,681,646
337,704,594
338,760,647
339,699,650
340,760,672
341,836,653
342,787,713
343,800,750
344,756,677
345,783,691
346,841,701
347,832,653
348,728,659
349,734,635
350,761,623
351,695,594
352,704,639
353,792,614
354,818,652
355,746,763
356,877,720
357,894,766
358,945,725
359,865,801
360,949,800
361,900,750
362,860,748
363,888,733
364,883,777
365,766,709
366,766,718
367,687,649
368,697,633
369,750,685
370,825,692
371,892,782
372,870,795
373,971,786
374,952,890
375,960,853
376,1005,921
377,1046,914
378,990,872
