,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
0,983,658
1,1010,645
2,920,722
3,1060,652
4,986,669
5,928,711
6,1032,665
7,1027,663
8,1115,758
9,1118,730
10,1192,729
11,1227,719
12,1132,716
13,1105,643
14,995,659
15,916,696
16,984,712
17,1059,683
18,1183,712
19,1474,758
20,1487,789
21,1510,806
22,1391,780
23,1425,830
24,1355,765
25,1245,785
26,1182,674
27,1046,709
28,1007,683
29,1108,746
30,1332,725
31,1519,793
32,1571,877
33,1674,886
34,1756,882
35,1719,821
36,1663,829
37,1633,787
38,1453,825
39,1302,793
40,1183,678
41,1040,690
42,1019,671
43,1176,711
44,1348,734
45,1528,831
46,1740,847
47,1872,878
48,1927,883
49,2054,837
50,1902,869
51,1846,885
52,1836,818
53,1650,859
54,1588,803
55,1328,760
56,1115,691
57,1033,640
58,1046,693
59,1281,783
60,1540,809
61,1677,872
62,1854,800
63,1983,1001
64,2005,878
65,2082,941
66,2107,904
67,2018,978
68,2080,1005
69,1954,899
70,1735,859
71,1614,777
72,1313,719
73,1041,761
74,971,672
75,1162,631
76,1283,763
77,1572,842
78,1911,857
79,2053,929
80,2103,934
81,2118,887
82,2191,968
83,2243,938
84,2074,908
85,2106,908
86,2155,926
87,1913,865
88,1642,832
89,1311,728
90,1061,657
91,958,672
92,967,682
93,1149,736
94,1487,726
95,1679,786
96,1861,893
97,2009,959
98,2049,971
99,2040,991
100,2235,1018
101,2286,1037
102,2254,963
103,2162,1003
104,2061,937
105,1930,816
106,1783,906
107,1470,805
108,1176,691
109,1008,736
110,1002,678
111,1300,722
112,1445,792
113,1657,829
114,1970,884
115,1968,946
116,2090,930
117,2183,924
118,2354,991
119,2291,1026
120,2304,1062
121,2120,957
122,2045,925
123,1964,903
124,1723,866
125,1499,810
126,1177,829
127,1020,685
128,875,622
129,1020,685
130,1267,739
131,1478,805
132,1781,831
133,1938,922
134,2086,946
135,2121,918
136,2183,1062
137,2215,1013
138,2165,1037
139,2167,969
140,2257,942
141,2154,933
142,1949,890
143,1780,883
144,1535,794
145,1240,731
146,1011,725
147,951,729
148,1186,712
149,1503,806
150,1642,837
151,1886,901
152,2134,949
153,2082,940
154,2133,949
155,2245,1042
156,2243,1036
157,2177,934
158,2165,974
159,2214,941
160,2053,851
161,1721,850
162,1425,792
163,1180,750
164,1083,690
165,1060,643
166,1069,765
167,1327,772
168,1587,794
169,1831,921
170,1907,938
171,2039,856
172,2027,956
173,2068,948
174,2144,996
175,2167,950
176,1984,955
177,2020,866
178,1798,861
179,1691,905
180,1400,774
181,1091,703
182,995,621
183,909,659
184,953,666
185,1192,736
186,1435,726
187,1743,857
188,1707,964
189,1910,958
190,2013,898
191,1952,952
192,1929,865
193,2012,949
194,1938,967
195,1834,831
196,1824,864
197,1556,845
198,1272,693
199,1016,678
200,922,658
201,1029,713
202,1270,718
203,1446,805
204,1568,853
205,1727,797
206,1833,908
207,1953,850
208,1767,883
209,1853,929
210,1799,860
211,1686,867
212,1517,812
213,1317,774
214,1087,700
215,1031,719
216,1020,674
217,1000,657
218,1115,737
219,1198,828
220,1344,775
221,1590,806
222,1711,832
223,1805,763
224,1848,897
