,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
0,688,609
1,731,588
2,619,603
3,736,628
4,696,588
5,699,573
6,716,587
7,734,609
8,705,636
9,711,540
10,730,602
11,771,629
12,754,613
13,738,575
14,674,617
15,680,600
16,760,619
17,718,623
18,780,612
19,758,682
20,766,622
21,742,605
22,714,613
23,684,613
24,729,572
25,691,601
26,731,584
27,772,617
28,746,643
29,783,637
30,813,570
31,749,603
32,747,667
33,789,579
34,753,635
35,746,633
36,691,599
37,696,584
38,718,620
39,697,645
40,702,618
41,828,647
42,816,609
43,817,613
44,860,639
45,793,624
46,803,638
47,817,642
48,862,630
49,758,591
50,753,612
51,658,596
52,647,554
53,728,569
54,771,632
55,749,618
56,832,612
57,816,625
58,805,637
59,908,639
60,850,629
61,842,650
62,855,601
63,749,650
64,759,626
65,740,614
66,751,577
67,715,614
68,708,621
69,755,587
70,750,583
71,800,657
72,805,650
73,866,657
74,894,661
75,937,694
76,838,623
77,833,650
78,870,585
79,823,668
80,799,635
81,746,572
82,750,608
83,700,620
84,696,606
85,670,582
86,722,577
87,760,599
88,809,614
89,863,623
90,842,632
91,907,656
92,833,627
93,922,624
94,908,688
95,925,634
96,846,700
97,842,613
98,775,610
99,750,617
100,728,635
101,711,606
102,723,607
103,716,640
104,829,589
105,838,657
106,807,603
107,862,634
108,909,661
109,876,659
110,934,696
111,849,634
112,886,650
113,861,606
114,819,633
115,829,605
116,748,607
117,762,603
118,767,607
119,704,612
120,643,613
121,796,646
122,756,614
123,769,653
124,821,663
125,951,614
126,915,669
127,917,645
128,980,653
129,884,616
130,910,645
131,876,642
132,791,628
133,790,590
134,747,611
135,717,617
136,710,592
137,681,622
138,710,563
139,757,608
140,761,630
141,914,670
142,834,618
143,916,659
144,886,650
145,888,635
146,896,648
147,945,635
148,899,676
149,853,665
150,843,632
151,807,654
152,721,572
153,726,631
154,687,606
155,682,570
156,675,581
157,760,630
158,755,559
159,756,625
160,848,625
161,897,691
162,926,650
163,930,661
164,862,668
165,908,672
166,816,639
167,864,630
168,866,601
169,777,597
170,712,626
171,720,610
172,705,590
173,705,617
174,760,589
175,683,613
176,773,589
177,828,658
178,872,661
179,892,645
180,922,646
181,878,664
182,862,649
183,845,646
184,908,629
185,831,664
186,758,690
187,736,588
188,689,589
189,717,617
190,678,608
191,770,663
192,764,604
193,744,599
194,876,603
195,858,658
196,866,602
197,811,636
198,805,609
199,811,624
200,816,615
201,831,617
202,719,602
203,725,618
204,733,602
205,731,621
206,776,597
207,742,612
208,750,594
209,777,677
210,749,606
211,798,664
212,773,644
213,808,596
214,848,614
215,774,650
216,750,626
217,719,573
218,684,598
219,655,628
220,700,624
221,737,628
222,775,632
223,766,616
224,764,584
225,769,632
226,746,620
227,749,623
228,764,669
229,757,631
230,728,565
231,685,603
232,713,614
233,657,611
234,733,608
235,706,588
236,756,597
237,755,639
238,681,600
239,748,603
240,755,595
241,734,611
242,694,605
243,676,586
244,759,631
245,654,637
246,719,613
247,735,591
248,753,592
249,673,625
250,717,614
251,712,623
252,685,591
253,711,645
254,766,626
255,761,622
256,665,584
257,717,606
258,718,590
259,724,631
260,766,619
261,729,596
262,687,600
263,704,620
264,717,605
265,676,675
266,718,638
267,667,610
268,680,623
269,719,627
270,776,642
271,663,627
272,708,615
273,759,601
274,750,610
275,713,705
276,722,659
277,683,720
278,702,642
279,742,636
280,700,684
281,714,673
282,746,679
283,738,633
284,696,624
285,715,630
286,733,632
287,728,621
288,681,641
289,721,618
290,676,663
291,719,712
292,713,706
293,768,674
294,706,741
295,713,672
296,717,701
297,714,651
298,715,605
299,739,608
300,682,654
301,724,594
302,658,672
303,703,665
304,731,699
305,665,672
306,684,730
307,714,743
308,722,746
309,716,722
310,667,694
311,730,681
312,748,638
313,689,631
314,703,629
315,709,640
316,691,631
317,744,611
318,691,631
319,732,716
320,716,692
321,719,717
322,708,758
323,761,761
324,720,789
325,715,788
326,722,730
327,755,737
328,679,659
329,720,614
330,700,628
331,733,645
332,724,641
333,725,628
334,697,736
335,742,731
336,703,773
337,745,743
338,749,775
339,711,774
340,745,747
341,806,801
342,734,704
343,716,676
344,699,644
345,698,637
346,732,613
347,689,572
348,692,664
349,710,686
350,763,658
351,707,702
352,747,746
353,722,735
354,692,753
355,748,718
356,763,724
357,720,693
358,705,705
359,667,730
360,696,664
361,693,644
362,708,599
363,743,602
364,667,582
365,705,632
366,687,653
367,732,753
368,691,802
369,710,768
370,687,795
371,732,666
372,739,736
373,724,732
374,757,744
375,681,733
376,745,679
377,705,624
378,733,595
379,703,602
380,722,637
381,686,663
382,716,664
383,730,702
384,681,663
385,694,736
386,732,730
387,699,705
388,695,751
389,700,744
390,730,712
391,735,641
392,736,617
393,751,622
394,678,679
395,755,631
396,691,604
397,702,630
398,671,690
399,722,718
400,652,719
401,711,681
402,739,748
403,697,723
404,727,674
405,750,682
406,701,724
407,746,602
408,706,611
409,695,592
410,723,603
411,682,621
412,712,625
413,642,663
414,747,692
415,687,714
416,714,711
417,723,691
418,729,704
419,729,669
420,712,652
421,735,626
422,738,612
423,660,610
424,719,633
425,691,585
426,734,636
427,732,700
428,740,693
429,698,686
430,711,657
431,691,665
432,785,744
433,696,624
434,714,590
435,702,618
436,714,593
437,694,608
438,685,700
439,700,630
440,743,653
441,735,636
442,694,705
443,697,616
444,731,680
445,703,670
446,707,669
447,731,600
448,748,579
449,753,612
450,711,663
451,694,638
452,719,581
453,690,623
454,780,646
455,699,631
456,697,645
457,727,601
458,702,592
459,706,576
460,701,620
461,657,617
462,761,622
463,704,630
464,727,631
465,672,620
466,682,595
467,684,619
468,687,621
469,742,618
470,722,598
471,699,591
472,694,609
473,709,567
474,706,598
475,640,608
476,687,587
477,690,632
478,685,605
479,667,618
480,713,656
481,703,638
482,756,592
483,663,627
484,685,613
485,671,613
486,714,587
487,713,585
488,720,595
489,633,586
490,746,656
491,701,593
492,704,655
493,724,628
494,711,684
495,692,649
496,683,640
497,702,656
498,719,624
499,673,599
500,718,630
501,695,626
502,732,621
503,683,635
504,696,646
505,677,675
506,676,653
507,704,687
508,751,697
509,675,714
510,690,724
511,701,676
512,712,686
513,708,652
514,717,651
515,700,599
516,733,598
517,718,589
518,729,615
519,685,634
520,701,609
521,684,627
522,666,671
523,632,675
524,714,698
525,684,704
526,670,684
527,714,697
528,743,723
529,685,713
530,711,627
531,698,588
532,723,595
533,715,582
534,721,622
535,742,595
536,661,603
537,684,645
538,675,702
539,711,670
540,692,734
